fid,cat,value,area (m^2),prop_of_sink_minedmean,_ELEVmean,_ELEVFILLEDmean
"195","197",1,600.449394796859,0,304.621210734049,304.801879882813
"196","199",1,100.075284574763,1,450.334045410156,450.3388671875
"197","201",1,100.074382933497,0,328.094207763672,328.099273681641
"198","204",1,100.07438062143,0,328.022979736328,328.099273681641
"199","202",1,300.225922070153,1,462.597727457682,462.962951660156
"200","203",1,200.151200554101,1,437.270446777344,437.337921142578
"201","200",1,500.3789132284,1,447.032049560547,447.268981933594
"202","205",1,100.074757232098,1,461.885101318359,461.929168701172
"203","206",1,100.074755141628,1,461.857116699219,461.929168701172
"204","207",1,100.075600422773,1,437.658538818359,437.681701660156
"205","209",1,600.453582667047,1,450.150472005208,450.348999023438
"206","210",1,100.074493852502,0,316.690185546875,316.927520751953
"207","211",1,200.148992166272,0,316.760147094727,316.992340087891
"208","208",1,6805.09430074249,0,309.839519725126,310.731689453125
"209","212",1,4403.29821696575,0,312.154489690607,312.606170654297
"210","215",1,200.149062293931,0,339.7392578125,339.873870849609
"211","216",1,600.447207155987,0,339.583465576172,339.87387084961
"212","213",1,4003.03090355112,1,474.595579528809,475.649780273438
"213","217",1,1000.74566607812,0,352.040036010742,352.565490722656
"214","214",1,6504.875655332,0,322.551286902794,323.2255859375
"215","221",1,100.074521730479,0,353.190063476562,353.472381591797
"216","219",1,200.151577446144,1,482.673797607422,482.752777099609
"217","220",1,400.303804270749,1,569.744140625,569.833740234375
"218","222",1,700.530545071757,1,482.355616978237,482.75277709961
"219","218",1,3402.54713531182,0,326.981452493107,327.67041015625
"220","223",1,1100.83276987006,1,593.092240767045,593.555053710938
"221","224",1,100.074512201594,0,364.154479980469,364.171447753906
"222","225",1,200.150133469375,0.5,328.658935546875,328.700134277344
"223","227",1,200.150146913656,1,328.74365234375,328.758392333984
"224","226",1,6304.77522743837,1,486.312835208953,487.852203369141
"225","228",1,100.074498153117,0,377.745941162109,377.966186523438
"226","229",1,200.148991845665,0,377.643218994141,377.966186523438
"228","230",1,4603.45548652107,1,336.612246306046,336.913299560547
"229","233",1,900.677148931194,0,351.396457248264,351.825439453125
"230","234",1,300.225455425563,0,339.578063964844,339.759033203125
"231","232",1,1200.90245398146,0,347.807441711426,348.327545166016
"232","235",1,200.150331844401,0,340.293197631836,340.35986328125
"233","236",1,300.225527812436,0.333333333333333,340.326477050781,340.500671386719
"234","237",1,100.075330334075,1,377.231292724609,377.448059082031
"235","238",1,200.150649656891,1,377.129135131836,377.265533447266
"236","240",1,100.07532198343,1,377.175903320312,377.265533447266
"237","239",1,1100.82806845981,0,361.413921009411,361.677307128906
"238","241",1,3102.33418774675,0.161290322580645,360.483160203503,361.804229736328
"239","243",1,100.07530648174,0,364.784057617188,364.785125732422
"240","244",1,400.301243012305,0,364.705955505371,364.785125732422
"241","245",1,100.075315230642,0,364.76904296875,364.785125732422
"242","242",1,2201.64797794074,0,352.052642822266,352.235473632813
"243","246",1,300.223403103766,0,426.051696777344,426.184020996094
"244","247",1,100.074470078631,0,426.154907226562,426.184020996094
"245","248",1,100.074900256179,0,353.118896484375,353.170593261719
"246","249",1,600.44938164542,0,352.905909220378,353.170593261719
"247","250",1,100.075341017684,1,375.019104003906,375.054504394531
"248","251",1,100.075343114033,1,374.959808349609,375.054504394531
"249","252",1,100.075345605204,1,375.051483154297,375.054504394531
"250","253",1,100.075140655157,0,353.115966796875,353.129638671875
"251","255",1,300.225428843871,0,353.560343424479,353.819641113281
"252","254",1,1701.28109796974,0.764705882352941,374.860698026769,375.112274169922
"253","256",1,400.300580575597,0,353.43871307373,353.819641113282
"254","257",1,300.225441798801,0,353.564982096354,353.819641113282
"255","258",1,1000.74872875272,0,363.401748657227,363.938720703125
"256","259",1,1000.75435374497,0.9,386.488110351563,386.859954833985
"257","260",1,2301.73623272331,1,397.463863206946,397.772125244141
"258","262",1,3102.34160168737,1,408.863982169859,409.637512207031
"259","261",1,1601.20251600409,0,364.579404830933,364.935485839844
"260","263",1,1901.42265419249,0,375.524052670127,376.285614013672
"261","264",1,200.150329734432,0,365.063705444336,365.177490234375
"262","266",1,200.149741312489,0,377.234985351562,377.508850097656
"263","265",1,800.599135917728,0,376.104022979736,376.510894775391
"264","267",1,100.074868480267,0,377.376190185547,377.535736083984
"265","268",1,500.375967070402,0,376.565081787109,376.815704345703
"266","269",1,200.150419548387,0,377.28254699707,377.525909423828
"267","270",1,200.150436803349,0,377.953063964844,378.047882080078
"268","271",1,100.074938102276,0,389.818634033203,389.916931152344
"269","272",1,500.374719075335,0.8,389.692895507813,389.916931152344
"270","273",1,100.074949572328,1,389.7978515625,389.916931152344
"271","274",1,100.075574967515,0,425.062194824219,425.240112304688
"272","276",1,400.299883931468,0,399.521102905273,399.590118408203
"273","275",1,200.149714836269,0,388.328582763672,388.374816894531
"274","277",1,200.151154188497,0,425.165237426758,425.240112304688
"275","278",1,100.075579541124,0,425.054168701172,425.240112304688
"276","279",1,100.074855031969,0,388.392303466797,388.414184570313
"277","280",1,400.302329697821,0,425.020927429199,425.240112304688
"278","281",1,100.075271771522,0,401.504455566406,401.717620849609
"279","282",1,400.301108958432,0,402.510345458984,402.924865722656
"280","283",1,100.075284742634,0,413.578674316406,413.642730712891
"281","284",1,200.150573785766,0,413.615249633789,413.642730712891
"282","286",1,100.075041213888,1,426.091461181641,426.417358398438
"283","287",1,100.075291477377,0,413.689544677734,413.738311767578
"284","288",1,100.074853301398,0,402.272186279297,402.393310546875
"285","285",1,1701.28545790608,0.647058823529412,436.179186652688,437.16650390625
"286","290",1,100.075056593516,1,437.913757324219,437.947448730469
"287","291",1,100.075059251511,1,437.889099121094,437.947448730469
"288","289",1,1100.82825232443,0,413.564109108665,414.286895751953
"289","292",1,700.52402650984,0,413.652273995536,413.899230957032
"290","293",1,300.226882046321,0,448.865519205729,448.935424804688
"291","295",1,100.074864307069,0,414.168060302734,414.607635498047
"292","297",1,100.074866726529,0,414.59814453125,414.607635498047
"293","294",1,400.30251775519,0,448.574378967285,448.935424804688
"294","296",1,500.375403785321,1,447.414685058594,447.83447265625
"295","298",1,100.075105374388,1,450.904357910156,451.271728515625
"296","299",1,100.07487550535,0,424.741149902344,424.817840576172
"297","300",1,100.074965093168,1,585.161499023438,585.215759277344
"298","301",1,400.300044553587,0.25,585.157379150391,585.216979980469
"299","302",1,100.07487766823,0,424.889190673828,424.958984375
"300","304",1,100.074879978143,0,424.662017822266,424.958984375
"301","303",1,1701.27467268432,1,584.816833496094,585.021545410156
"302","305",1,100.075151576952,1,474.448150634766,474.548034667969
"303","306",1,100.075323606608,0,438.146850585938,438.151947021484
"304","307",1,400.300637214677,1,474.666481018066,474.84017944336
"305","308",1,100.07584191623,1,546.311340332031,546.335388183594
"306","309",1,100.074920057144,0,448.392578125,448.538208007813
"307","310",1,100.075162895431,1,474.818481445312,474.859130859375
"308","311",1,100.075347649865,0,448.254150390625,448.414093017578
"309","312",1,100.075349543826,0,448.372772216797,448.414093017578
"310","313",1,100.075353876862,0,448.446960449219,448.493072509766
"311","314",1,100.07582334138,1,535.951354980469,536.390075683594
"312","315",1,200.151505679853,1,497.236785888672,497.400482177734
"313","317",1,100.075366694713,0,450.059967041016,450.327575683594
"314","318",1,100.074927302892,0,461.080596923828,461.218017578125
"315","316",1,2001.5035712627,1,485.727984619141,486.591857910156
"316","319",1,200.150415257493,1,499.820205688477,500.000366210938
"317","320",1,100.075394715357,0,462.826232910156,463.039703369141
"318","321",1,1701.27476386016,0,485.163875804228,486.108978271484
"319","322",1,2802.11199067847,0,471.350427900042,472.0390625
"320","323",1,700.528817332641,1,510.3121207101,510.594635009766
"321","324",1,400.301916049182,1,491.457084655762,491.475708007813
"322","326",1,100.075471386052,1,513.4951171875,517.711059570313
