fid,NDVI
"660",0.21470031
"661",0.32186902
"662",0.471641
"663",0.52352613
"664",0.46976686
"665",0.4004187
"666",0.32253593
"667",0.29841194
"668",0.36883944
"669",0.40315723
"670",0.38779238
"671",0.37521371
"672",0.36256355
"673",0.35415465
"674",0.33618647
"675",0.28786018
"676",0.24220319
"677",0.2407212
"678",0.24437444
"679",0.19995524
"680",0.13444714
"681",0.07984387
"682",0.05461179
"683",0.0525774
"684",0.05445617
"685",0.13526806
"686",0.33533844
"687",0.50871289
"688",0.56405956
"689",0.5170179
"690",0.49596843
"691",0.44586501
"692",0.43085176
"693",0.45724303
"694",0.4440968
"695",0.39773548
"696",0.36365685
"697",0.36643445
"698",0.43832326
"699",0.5182904
"700",0.55694556
"701",0.59109932
"702",0.60828096
"703",0.59297037
"704",0.57539332
"705",0.56239301
"706",0.56437451
"707",0.55846888
"708",0.56880754
"709",0.59588075
"710",0.57174301
"711",0.48537052
"712",0.39859405
"713",0.41005185
"714",0.48855031
"715",0.48584604
"716",0.33142495
"717",0.19981956
"718",0.18939912
"719",0.23291568
"720",0.34622669
"721",0.44401807
"722",0.42743888
"723",0.38813159
"724",0.32427329
"725",0.27732393
"726",0.28563398
"727",0.30419394
"728",0.35432303
"729",0.38597569
"730",0.358744
"731",0.32993424
"732",0.32465401
"733",0.33242437
"734",0.35162529
"735",0.36488295
"736",0.37722969
"737",0.32497072
"738",0.22682211
"739",0.16463721
"740",0.11681785
"741",0.06523633
"742",0.04258719
"743",0.14961526
"744",0.36429223
"745",0.51225936
"746",0.55837888
"747",0.56787348
"748",0.47134319
"749",0.48376325
"750",0.49746683
"751",0.48261294
"752",0.47085223
"753",0.47726157
"754",0.46997955
"755",0.42904845
"756",0.39568639
"757",0.43084797
"758",0.45728195
"759",0.41712788
"760",0.39715055
"761",0.42602295
"762",0.47908798
"763",0.52650803
"764",0.55310476
"765",0.58243108
"766",0.59537148
"767",0.58163685
"768",0.55505109
"769",0.51388419
"770",0.46490923
"771",0.41850331
"772",0.43286619
"773",0.47589499
"774",0.48105487
"775",0.48626819
"776",0.47496215
"777",0.44633293
"778",0.4370172
"779",0.36945939
"780",0.23091111
"781",0.18640983
"782",0.22516541
"783",0.21768181
"784",0.22825246
"785",0.30722064
"786",0.36579227
"787",0.36797413
"788",0.31984535
"789",0.28318906
"790",0.26647937
"791",0.27578643
"792",0.34541395
"793",0.3892366
"794",0.35236907
"795",0.314291
"796",0.31684619
"797",0.35193366
"798",0.42013282
"799",0.46365327
"800",0.49044859
"801",0.45251408
"802",0.32666492
"803",0.22482108
"804",0.14547443
"805",0.06636353
"806",0.06469285
"807",0.22840554
"808",0.43792427
"809",0.53408253
"810",0.56118196
"811",0.57098287
"812",0.54518342
"813",0.47141179
"814",0.43955243
"815",0.46195874
"816",0.496402
"817",0.49257237
"818",0.46761245
"819",0.46001732
"820",0.4567236
"821",0.44353905
"822",0.42281607
"823",0.43184128
"824",0.44242597
"825",0.39893308
"826",0.38827088
"827",0.45283079
"828",0.52441359
"829",0.56111264
"830",0.57449734
"831",0.58725977
"832",0.57699412
"833",0.54832977
"834",0.50787163
"835",0.44354761
"836",0.34506407
"837",0.26429832
"838",0.29158846
"839",0.36259317
"840",0.42362016
"841",0.50895607
"842",0.5432961
"843",0.4779492
"844",0.37755057
"845",0.26164228
"846",0.15923671
"847",0.13728954
"848",0.15725727
"849",0.14108449
"850",0.12350933
"851",0.19075537
"852",0.29806906
"853",0.33578098
"854",0.32558873
"855",0.34251118
"856",0.36510271
"857",0.35693809
"858",0.37840274
"859",0.40493673
"860",0.35803381
"861",0.31127939
"862",0.30896837
"863",0.34481737
"864",0.42844695
"865",0.4777092
"866",0.50283563
"867",0.50651282
"868",0.38683662
"869",0.24677855
"870",0.1540609
"871",0.08632901
"872",0.10487998
"873",0.2700524
"874",0.46718779
"875",0.5485605
"876",0.56416559
"877",0.5746966
"878",0.58982635
"879",0.52298665
"880",0.47667691
"881",0.4827356
"882",0.51127088
"883",0.4614487
"884",0.44768423
"885",0.49032077
"886",0.51984972
"887",0.4937368
"888",0.45461497
"889",0.44915986
"890",0.45510951
"891",0.45695102
"892",0.45524287
"893",0.44526744
"894",0.41795143
"895",0.37344959
"896",0.37879497
"897",0.45140678
"898",0.51524991
"899",0.54008138
"900",0.55990756
"901",0.5589186
"902",0.5077793
"903",0.48227444
"904",0.47239822
"905",0.4361257
"906",0.34524488
"907",0.23986766
"908",0.25293997
"909",0.35952494
"910",0.48585838
"911",0.57122791
"912",0.56831706
"913",0.48497027
"914",0.34727809
"915",0.20018847
"916",0.10216935
"917",0.06206101
"918",0.03801261
"919",0.02243804
"920",0.04696365
"921",0.14372352
"922",0.26505795
"923",0.33768234
"924",0.36010471
"925",0.38768348
"926",0.43773422
"927",0.42438683
"928",0.41103959
"929",0.43254548
"930",0.39371225
"931",0.33920479
"932",0.32057109
"933",0.35251802
"934",0.44178832
"935",0.48919225
"936",0.50776041
"937",0.53417063
"938",0.44549477
"939",0.31006816
"940",0.23074596
"941",0.18756825
"942",0.18703803
"943",0.28358346
"944",0.44568789
"945",0.53871667
"946",0.55466592
"947",0.56915736
"948",0.58814096
"949",0.56144994
"950",0.51861942
"951",0.47052857
"952",0.44797188
"953",0.45399347
"954",0.47581026
"955",0.50073963
"956",0.53106982
"957",0.48338816
"958",0.44958901
"959",0.46850723
"960",0.50132877
"961",0.48443052
"962",0.41988137
"963",0.38107288
"964",0.38590428
"965",0.39536685
"966",0.40378505
"967",0.4088577
"968",0.3999297
"969",0.3773562
"970",0.36053175
"971",0.37618911
"972",0.41037405
"973",0.44164938
"974",0.47039172
"975",0.49632353
"976",0.48571754
"977",0.45898414
"978",0.48492703
"979",0.51085031
"980",0.50543493
"981",0.43073052
"982",0.29721373
"983",0.26108539
"984",0.36175925
"985",0.50664794
"986",0.56955278
"987",0.55061048
"988",0.50035
"989",0.37591088
"990",0.20022419
"991",0.08200789
"992",0.04052012
"993",0.0169727
"994",0.02527419
"995",0.0926015
"996",0.20545571
"997",0.32372519
"998",0.39963278
"999",0.39910859
"1000",0.40266588
"1001",0.45018259
"1002",0.42167729
"1003",0.39034715
"1004",0.43148607
"1005",0.43775505
"1006",0.3975426
"1007",0.36803547
"1008",0.3907508
"1009",0.47075728
"1010",0.51588923
"1011",0.52889103
"1012",0.56274384
"1013",0.53296047
"1014",0.44036773
"1015",0.37065914
"1016",0.33026999
"1017",0.30854702
"1018",0.35284328
"1019",0.46130598
"1020",0.53942025
"1021",0.5534637
"1022",0.55950642
"1023",0.57395101
"1024",0.58297127
"1025",0.55514729
"1026",0.52370262
"1027",0.50543863
"1028",0.48672584
"1029",0.46772894
"1030",0.45348984
"1031",0.44817385
"1032",0.47052494
"1033",0.50314373
"1034",0.51560897
"1035",0.51251113
"1036",0.51376337
"1037",0.50183654
"1038",0.46992475
"1039",0.46506891
"1040",0.47331619
"1041",0.45134059
"1042",0.39594126
"1043",0.33554527
"1044",0.31309411
"1045",0.31015378
"1046",0.30573267
"1047",0.32435149
"1048",0.34303522
"1049",0.33267373
"1050",0.32508957
"1051",0.33577332
"1052",0.34250361
"1053",0.35855427
"1054",0.39810795
"1055",0.43333328
"1056",0.44906133
"1057",0.46520132
"1058",0.49466902
"1059",0.51980376
"1060",0.52607852
"1061",0.54166955
"1062",0.51289952
"1063",0.38937521
"1064",0.3038274
"1065",0.35858038
"1066",0.47307131
"1067",0.50690091
"1068",0.49945378
"1069",0.49525487
"1070",0.40330067
"1071",0.24523619
"1072",0.13740383
"1073",0.10321088
"1074",0.10292114
"1075",0.1512513
"1076",0.23850504
"1077",0.33303607
"1078",0.40821502
"1079",0.42282537
"1080",0.38813379
"1081",0.40536276
"1082",0.45048058
"1083",0.40408379
"1084",0.36290109
"1085",0.42019102
"1086",0.47799271
"1087",0.54775077
"1088",0.58109593
"1089",0.59267479
"1090",0.5518114
"1091",0.498642
"1092",0.45504403
"1093",0.43280321
"1094",0.46455151
"1095",0.52313119
"1096",0.55425876
"1097",0.55532515
"1098",0.55708194
"1099",0.56810594
"1100",0.59240544
"1101",0.5807808
"1102",0.55165714
"1103",0.51381218
"1104",0.50035238
"1105",0.51363057
"1106",0.5259648
"1107",0.51589572
"1108",0.49584937
"1109",0.48174009
"1110",0.4790881
"1111",0.47739354
"1112",0.47336
"1113",0.47566801
"1114",0.4833065
"1115",0.48577926
"1116",0.47295046
"1117",0.42624208
"1118",0.36369899
"1119",0.32194144
"1120",0.29078978
"1121",0.27310356
"1122",0.25725159
"1123",0.26224688
"1124",0.30093643
"1125",0.32399422
"1126",0.31275338
"1127",0.29883188
"1128",0.30230913
"1129",0.31405127
"1130",0.35261527
"1131",0.40580696
"1132",0.42830426
"1133",0.44160831
"1134",0.49343213
"1135",0.5328052
"1136",0.51661837
"1137",0.49081445
"1138",0.50930303
"1139",0.54315418
"1140",0.49631938
"1141",0.40112436
"1142",0.38896507
"1143",0.45252621
"1144",0.47031254
"1145",0.46306869
"1146",0.45115525
"1147",0.38839447
"1148",0.31742367
"1149",0.26691285
"1150",0.23269728
"1151",0.23288296
"1152",0.27729326
"1153",0.33074126
"1154",0.37932849
"1155",0.40499598
"1156",0.37888235
"1157",0.3770251
"1158",0.44649515
"1159",0.48289081
"1160",0.44921482
"1161",0.43367013
